"{""ObjectName"":""Layout"",""Version"":""1.0"",""TimeZone"":""GMT"",""Pattern"":""""}"
id,name,objectId,label,type,content,description,createdBy,createdDate,lastModifiedBy,lastModifiedDate,systemModifiedDate,deletedDate,isDeleted,owner,installedPackage,custom,protectMode
string,string,string,string,string,clob,string,string,date,string,date,date,date,bool,string,string,bool,numeric
000D000000dbeFZ6iLDc,学生 Detail,cust000000dbeFZ0BZE8,学生 Detail,ObjectDetailLayout,"{""name"":"""",""type"":"""",""view"":{""name"":""__layout__test1xjl__Student__CST__detail"",""fields"":[""name"",""test1xjl__StuId__CST"",""test1xjl__Gender__CST"",""test1xjl__Phone__CST""]}}",Object detail layout,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,10gd000000d9AmU2gaYa,2020-09-28 08:58:03,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
000D000000dbeFZ6iLDd,学生 Records,cust000000dbeFZ0BZE8,学生 Records,ObjectRecordsLayout,"{""name"":"""",""type"":"""",""view"":{""name"":""__layout__test1xjl__Student__CST__records"",""fields"":[""name""]}}",Object records layout,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,10gd000000d9AmU2gaYa,2020-09-27 12:55:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
000D000000deb237xi0O,拾物信息表 Detail,cust000000deb232HjP6,拾物信息表 Detail,ObjectDetailLayout,"{""name"":"""",""type"":"""",""view"":{""name"":""__layout__test1xjl__FInfo__CST__detail"",""fields"":[""name"",""test1xjl__Time__CST"",""test1xjl__Address__CST"",""test1xjl__Stu_id__CST"",""test1xjl__Way__CST"",""test1xjl__delivery_Time__CST"",""test1xjl__Number__CST"",""test1xjl__Category__CST""]}}",Object detail layout,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,10gd000000d9AmU2gaYa,2020-10-05 13:45:49,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
000D000000deb237xi0P,拾物信息表 Records,cust000000deb232HjP6,拾物信息表 Records,ObjectRecordsLayout,"{""name"":"""",""type"":"""",""view"":{""name"":""__layout__test1xjl__FInfo__CST__records"",""fields"":[""name""]}}",Object records layout,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,10gd000000d9AmU2gaYa,2020-09-29 07:32:51,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
000D000000doVwGFzhke,失物信息 Detail,cust000000doVwGAsvPU,失物信息 Detail,ObjectDetailLayout,"{""name"":"""",""type"":"""",""view"":{""name"":""__layout__test1xjl__LInfo__CST__detail"",""fields"":[""name"",""test1xjl__delivery_Time__CST"",""test1xjl__State__CST"",""test1xjl__Way__CST"",""test1xjl__Address__CST"",""test1xjl__Time__CST"",""test1xjl__Basis__CST"",""test1xjl__Category__CST"",""test1xjl__Number__CST""]}}",Object detail layout,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,10gd000000d9AmU2gaYa,2020-10-05 10:50:27,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
000D000000doVwGGHIsi,失物信息 Records,cust000000doVwGAsvPU,失物信息 Records,ObjectRecordsLayout,"{""name"":"""",""type"":"""",""view"":{""name"":""__layout__test1xjl__LInfo__CST__records"",""fields"":[""name""]}}",Object records layout,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,10gd000000d9AmU2gaYa,2020-10-05 06:57:38,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
000D000000dt71kCwN72,感恩墙信息 Detail,cust000000dt71k7pals,感恩墙信息 Detail,ObjectDetailLayout,"{""name"":"""",""type"":"""",""view"":{""name"":""__layout__test1xjl__GratitudeWall__CST__detail"",""fields"":[""name"",""test1xjl__From_id__CST"",""test1xjl__Text__CST""]}}",Object detail layout,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,10gd000000d9AmU2gaYa,2020-10-08 07:51:07,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
000D000000dt71kCwN73,感恩墙信息 Records,cust000000dt71k7pals,感恩墙信息 Records,ObjectRecordsLayout,"{""name"":"""",""type"":"""",""view"":{""name"":""__layout__test1xjl__GratitudeWall__CST__records"",""fields"":[""name""]}}",Object records layout,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,10gd000000d9AmU2gaYa,2020-10-08 01:27:04,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
000D000000dvcJUlvjTU,申诉表 Detail,cust000000dvcJUf7MLw,申诉表 Detail,ObjectDetailLayout,"{""name"":"""",""type"":"""",""view"":{""name"":""__layout__test1xjl__Complain__CST__detail"",""fields"":[""name"",""test1xjl__Number__CST"",""test1xjl__Content__CST"",""test1xjl__Time__CST""]}}",Object detail layout,10gd000000d9AmU2gaYa,2020-10-09 13:40:05,10gd000000d9AmU2gaYa,2020-10-09 13:45:46,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
000D000000dvcJUlvjTV,申诉表 Records,cust000000dvcJUf7MLw,申诉表 Records,ObjectRecordsLayout,"{""name"":"""",""type"":"""",""view"":{""name"":""__layout__test1xjl__Complain__CST__records"",""fields"":[""name""]}}",Object records layout,10gd000000d9AmU2gaYa,2020-10-09 13:40:05,10gd000000d9AmU2gaYa,2020-10-09 13:40:05,NULL,NULL,false,10gd000000d9AmU2gaYa,NULL,true,0
